fdc_id,description,food_category_id
320375,"Beef, eye of round steak, raw (ES36-R-23) ",13
320376,"Beef, eye of round steak, raw (ES36-R-28) ",13
320377,"Beef, eye of round steak, raw (ES36-R-29) ",13
320378,"Beef, eye of round steak, raw (ES36-R-35) ",13
320379,"Beef, eye of round steak, raw (ES36-R-36) ",13
320380,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13
320381,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13
320382,"Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",13
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",13
320384,"Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)",13
320385,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320386,"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320387,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320388,"Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",13
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",13
320390,"Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",13
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",13
320392,"Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",13
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",13
320394,"Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",13
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",13
320396,"Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)",13
320397,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320398,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320399,"FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320400,"Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",13
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",13
320402,"Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",13
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",13
320404,"Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",13
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",13
320406,"Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",13
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",13
320408,"Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",13
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",13
320410,"Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",13
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",13
320413,"TOMATOES, GRAPE",11
320414,"TOMATOES, GRAPE",11
320415,"TOMATOES, GRAPE",11
320416,"TOMATOES, GRAPE",11
320417,"TOMATOES, GRAPE",11
320418,"TOMATOES, GRAPE",11
320419,"TOMATOES, GRAPE",11
320420,"TOMATOES, GRAPE",11
320421,"TOMATOES, GRAPE",11
320422,"TOMATOES, GRAPE",11
320423,"TOMATOES, GRAPE",11
320424,"TOMATOES, GRAPE",11
320425,"TOMATOES, GRAPE",11
320426,"TOMATOES, GRAPE",11
320427,"TOMATOES, GRAPE",11
320428,"TOMATOES, GRAPE",11
320429,"TOMATOES, GRAPE",11
320430,"TOMATOES, GRAPE",11
320431,"TOMATOES, GRAPE",11
320432,"TOMATOES, GRAPE",11
320433,"TOMATOES, GRAPE",11
320434,"TOMATOES, GRAPE",11
320435,"TOMATOES, GRAPE",11
320436,"TOMATOES, GRAPE",11
320437,"TOMATOES, GRAPE",11
320438,"TOMATOES, GRAPE",11
320439,"TOMATOES, GRAPE",11
320440,"TOMATOES, GRAPE",11
320441,"TOMATOES, GRAPE",11
320442,"TOMATOES, GRAPE",11
320443,"TOMATOES, GRAPE",11
320444,"TOMATOES, GRAPE",11
320445,"TOMATOES, GRAPE",11
320446,"TOMATOES, GRAPE",11
320447,"TOMATOES, GRAPE",11
320448,"TOMATOES, GRAPE",11
320449,"TOMATOES, GRAPE",11
320450,"TOMATOES, GRAPE",11
320451,"TOMATOES, GRAPE",11
320452,"TOMATOES, GRAPE",11
320453,"TOMATOES, GRAPE",11
320454,"TOMATOES, GRAPE",11
320455,"TOMATOES, GRAPE",11
320456,"TOMATOES, GRAPE",11
320457,"TOMATOES, GRAPE",11
320458,"TOMATOES, GRAPE",11
320459,"TOMATOES, GRAPE",11
320460,"TOMATOES, GRAPE",11
320461,"TOMATOES, GRAPE",11
320462,"TOMATOES, GRAPE",11
320463,"TOMATOES, GRAPE",11
320464,"TOMATOES, GRAPE",11
320465,"TOMATOES, GRAPE",11
320466,"TOMATOES, GRAPE",11
320467,"TOMATOES, GRAPE",11
320468,"TOMATOES, GRAPE",11
320469,"TOMATOES, GRAPE",11
